sl_pct,trail_arm,trail_giveback,purge_at,step_cap,regime_mult,net,cycles,win_rate,max_dd
0.06,0.4,0.4,5,,4.0,871.73,281,0.477,-543.81
0.06,0.5,0.4,5,,4.0,871.64,266,0.477,-537.86
0.06,0.5,0.4,4,,4.0,652.78,271,0.48,-442.07
0.08,0.6,0.3,5,1.2,4.0,565.33,342,0.462,-1014.9
0.08,0.6,0.4,5,1.2,,549.92,479,0.438,-839.67
0.05,0.4,0.4,4,,,528.41,452,0.462,-481.85
0.06,0.4,0.3,4,,4.0,438.77,276,0.536,-548.3
0.08,0.5,0.4,5,,4.0,424.62,246,0.5,-678.97
0.08,0.6,0.4,4,1.2,,388.24,435,0.485,-765.9
0.08,0.4,0.4,4,,4.0,370.54,247,0.522,-746.3
0.08,0.4,0.3,5,1.2,4.0,335.82,384,0.542,-727.64
0.06,0.6,0.3,5,,4.0,324.16,255,0.412,-685.75
0.08,0.6,0.2,5,1.2,4.0,322.11,353,0.462,-982.21
0.06,0.4,0.4,4,,4.0,320.04,278,0.486,-472.62
0.08,0.5,0.4,4,,4.0,289.45,242,0.541,-807.76
0.08,0.5,0.2,4,,4.0,248.62,234,0.538,-737.94
0.08,0.4,0.4,5,,4.0,219.92,257,0.502,-621.72
0.08,0.6,0.3,4,1.2,,218.73,457,0.464,-1017.69
0.08,0.6,0.4,5,1.2,4.0,216.92,338,0.453,-855.56
0.08,0.5,0.3,4,,4.0,210.72,227,0.537,-608.29
0.08,0.6,0.3,4,1.2,4.0,188.49,327,0.489,-1059.6
0.06,0.6,0.4,4,1.2,,183.85,539,0.406,-1235.26
0.05,0.6,0.3,4,1.2,4.0,177.3,411,0.384,-939.45
0.05,0.6,0.4,5,1.2,4.0,163.72,407,0.373,-971.58
0.06,0.6,0.3,5,1.2,4.0,163.33,390,0.405,-1033.47
0.05,0.5,0.4,4,,4.0,151.38,288,0.431,-608.36
0.06,0.4,0.4,4,,,128.77,419,0.487,-818.89
0.06,0.6,0.3,4,1.2,,127.45,542,0.421,-1076.68
0.08,0.5,0.3,5,1.2,4.0,119.15,369,0.48,-1017.28
0.05,0.4,0.4,5,,4.0,119.07,293,0.427,-807.6
0.08,0.5,0.3,5,1.2,,112.65,494,0.482,-640.83
0.06,0.6,0.4,5,,4.0,90.46,245,0.408,-768.17
0.08,0.5,0.2,4,,,90.37,337,0.501,-668.22
0.05,0.5,0.4,5,1.2,4.0,76.8,420,0.41,-621.24
0.06,0.4,0.3,4,,,54.5,422,0.491,-891.45
0.05,0.4,0.4,4,,4.0,50.01,300,0.43,-800.87
0.08,0.4,0.3,5,1.2,,49.49,516,0.516,-828.35
0.05,0.5,0.3,5,1.2,4.0,23.76,414,0.408,-926.02
0.06,0.4,0.3,5,,4.0,-13.19,282,0.5,-811.31
0.05,0.5,0.4,5,,4.0,-24.71,284,0.408,-703.14
0.08,0.6,0.3,5,1.2,,-25.55,482,0.44,-874.97
0.06,0.5,0.3,4,,,-37.72,390,0.438,-1071.97
0.05,0.4,0.3,5,,4.0,-38.68,292,0.476,-821.33
0.06,0.5,0.4,4,1.2,4.0,-40.79,393,0.453,-665.63
0.05,0.4,0.4,5,,,-48.99,444,0.432,-1176.09
0.06,0.6,0.2,5,1.2,4.0,-51.95,401,0.399,-1193.33
0.05,0.6,0.3,5,1.2,4.0,-80.33,406,0.367,-1053.46
0.06,0.4,0.4,5,,,-82.85,435,0.457,-1030.82
0.08,0.4,0.2,5,1.2,4.0,-83.39,389,0.537,-1034.91
0.06,0.5,0.2,5,,4.0,-88.77,289,0.439,-805.06
0.06,0.5,0.3,5,1.2,4.0,-96.47,397,0.428,-1249.14
0.06,0.6,0.3,5,1.2,,-101.98,554,0.403,-1143.24
0.06,0.6,0.4,4,,,-106.44,376,0.412,-825.9
0.05,0.5,0.3,5,,4.0,-116.69,283,0.399,-836.98
0.06,0.5,0.3,4,,4.0,-125.1,261,0.448,-701.46
0.06,0.6,0.4,5,1.2,4.0,-130.26,392,0.395,-1129.78
0.06,0.5,0.4,5,1.2,4.0,-130.74,401,0.426,-805.92
0.05,0.6,0.2,5,1.2,4.0,-130.84,409,0.372,-1025.39
0.06,0.5,0.3,5,,4.0,-133.67,270,0.441,-960.33
0.08,0.6,0.3,5,,4.0,-146.41,230,0.452,-1164.83
0.06,0.6,0.2,4,1.2,,-158.14,549,0.417,-1155.16
